epoch,acc,loss,val_accuracy,val_loss
0,0.32540318367062593,1.7746880808039027,0.331150738375537,1.8165915960320924
1,0.43892159253299673,1.4998911092172467,0.46851490665923656,1.523547007965158
2,0.4863979936626007,1.373077718073175,0.499024798002174,1.3344498642575744
3,0.5112334111275072,1.3052338103693462,0.5260518250375048,1.2878716158714092
4,0.5258629698014491,1.2615343496017086,0.5221510169963778,1.3385554231219585
5,0.537636281306552,1.2267720439457388,0.5257731958845925,1.2536749845761448
6,0.5463443519464211,1.2110481409739375,0.5642240178322653,1.1680565647641807
7,0.5519871817220943,1.189569422765944,0.556561716388746,1.1925906242517814
8,0.5644919711599081,1.1651789296603077,0.5557258289549204,1.185063300407773
9,0.5677313734410536,1.152438254726606,0.5762050710587356,1.1580285055453348
10,0.5736876937587241,1.1397972065389514,0.5438840902758428,1.2030730949998665
11,0.5780765613581038,1.1286353441967087,0.5410977988463652,1.2402651605582165
12,0.5824654289600788,1.120388607656766,0.5897185845971605,1.1053570323948343
13,0.5845205336310878,1.1100723619284003,0.5916689885762051,1.09834458240728
14,0.5906161830805533,1.0959199037628782,0.5863750348369469,1.1125869012270906
15,0.5945870632923336,1.0893121238076047,0.5820562831204261,1.1359198513254212
16,0.5981747883980357,1.0773222988196363,0.550431875182447,1.2141170422324699
17,0.5972343167668538,1.0759760831780865,0.5881861242685985,1.1158800315445065
18,0.6039917795833921,1.0622072537771907,0.5767623293479527,1.1471645862619735
19,0.6044445992545892,1.0626955876631847,0.5757871273335191,1.156482043788439
20,0.6087289700135571,1.0528499716800384,0.5835887433825578,1.1236961840852517
21,0.604200773278749,1.0534277981823026,0.5891613262747284,1.1187906761825765
22,0.6119683722895122,1.0440919539755615,0.6168849261715805,1.0454521172556182
23,0.6120380368546311,1.0396559575416313,0.6108943995541933,1.049513465151145
24,0.6139189801118048,1.0367083897630998,0.6184173864918387,1.0367611547670978
25,0.619770803584911,1.0233536098767333,0.6067149623850655,1.0706402149064922
26,0.6193876484767568,1.0250101913507756,0.6051825020980224,1.0833941946856056
27,0.6197011390166778,1.0177590241231715,0.5989133463360268,1.0943774768123058
28,0.6204674492329862,1.0174020864758488,0.6143772638950151,1.0675866794506466
29,0.6216517468410465,1.01482988973451,0.5749512399329086,1.1693661559355495
30,0.6211292626047306,1.0073966282409512,0.6093619392588465,1.0756981991964252
31,0.6270507506377653,1.0064860845920935,0.6062970186681527,1.0747144292343556
32,0.626145111291219,0.995020664422555,0.606575647821065,1.07685625622883
33,0.6294541781364453,0.9940391900567717,0.6019782669267205,1.0877992924158537
34,0.6290013584595389,0.9936822981764486,0.6072722206825864,1.0546878561331854
35,0.6332160646497546,0.9874725157267256,0.6110337141264977,1.074357586805121
36,0.6340520394342962,0.9833066753407017,0.6170242407355809,1.039733749772553
37,0.6508063673422899,0.9352283217598102,0.6354137642797436,1.003772633392587
38,0.6590964505909263,0.922399410554876,0.6379214265812204,0.9920560835662676
39,0.6637639764554532,0.9165987836462962,0.6409863471719142,0.9932576700916328
40,0.6674213661262743,0.9072016781057998,0.6379214265812204,0.9958476293515481
